id,state_id,country_region_id,country_id,local_id,name,slug,population
"BR-MT-51014","BR-MT","BR-CO","BR","51014","Teles Pires","teles-pires","433441"
"BR-MT-51015","BR-MT","BR-CO","BR","51015","Vale do Peixoto","vale-do-peixoto","106203"
"BR-MT-51016","BR-MT","BR-CO","BR","51016","Vale dos Arinos","vale-dos-arinos","53877"
"BR-PA-15001","BR-PA","BR-N","BR","15001","Araguaia","araguaia","566682"
"BR-PA-15002","BR-PA","BR-N","BR","15002","Baixo Amazonas","baixo-amazonas","771715"
"BR-PA-15003","BR-PA","BR-N","BR","15003","Carajás","carajas","875232"
"BR-PA-15004","BR-PA","BR-N","BR","15004","Lago de Tucuruí","lago-de-tucurui","461593"
"BR-PA-15006","BR-PA","BR-N","BR","15006","Metropolitana I","metropolitana-i","2238680"
"BR-PA-15007","BR-PA","BR-N","BR","15007","Metropolitana II","metropolitana-ii","367592"
"BR-PA-15008","BR-PA","BR-N","BR","15008","Metropolitana III","metropolitana-iii","939421"
"BR-PA-15009","BR-PA","BR-N","BR","15009","Rio Caetés","rio-caetes","541251"
"BR-PA-15010","BR-PA","BR-N","BR","15010","Tapajós","tapajos","221135"
"BR-PA-15011","BR-PA","BR-N","BR","15011","Tocantins","tocantins","705089"
"BR-PA-15012","BR-PA","BR-N","BR","15012","Xingu","xingu","350276"
"BR-PA-15013","BR-PA","BR-N","BR","15013","Marajó I","marajo-i","244027"
"BR-PA-15014","BR-PA","BR-N","BR","15014","Marajó II","marajo-ii","320172"
"BR-PB-25001","BR-PB","BR-NE","BR","25001","1ª Região Mata Atlântica","1a-regiao-mata-atlantica","1312521"
"BR-PB-25002","BR-PB","BR-NE","BR","25002","2ª Região","2a-regiao","306906"
"BR-PB-25003","BR-PB","BR-NE","BR","25003","3ª Região","3a-regiao","197160"
"BR-PB-25004","BR-PB","BR-NE","BR","25004","4ª Região","4a-regiao","113150"
"BR-PB-25005","BR-PB","BR-NE","BR","25005","5ª Região","5a-regiao","113432"
"BR-PB-25006","BR-PB","BR-NE","BR","25006","6ª Região","6a-regiao","237568"
"BR-PB-25007","BR-PB","BR-NE","BR","25007","7ª Região","7a-regiao","148646"
"BR-PB-25008","BR-PB","BR-NE","BR","25008","8ª Região","8a-regiao","118439"
"BR-PB-25009","BR-PB","BR-NE","BR","25009","9ª Região","9a-regiao","177393"
"BR-PB-25010","BR-PB","BR-NE","BR","25010","10ª Região","10a-regiao","117399"
"BR-PB-25011","BR-PB","BR-NE","BR","25011","11ª Região","11a-regiao","84949"
"BR-PB-25012","BR-PB","BR-NE","BR","25012","12ª Região","12a-regiao","176022"
"BR-PB-25013","BR-PB","BR-NE","BR","25013","13ª Região","13a-regiao","60609"
"BR-PB-25014","BR-PB","BR-NE","BR","25014","14ª Região","14a-regiao","152330"
"BR-PB-25015","BR-PB","BR-NE","BR","25015","15ª Região","15a-regiao","151072"
"BR-PB-25016","BR-PB","BR-NE","BR","25016","16ª Região","16a-regiao","550531"
"BR-PE-26001","BR-PE","BR-NE","BR","26001","Afogados da Ingazeira","afogados-da-ingazeira","190011"
"BR-PE-26002","BR-PE","BR-NE","BR","26002","Arcoverde","arcoverde","425162"
"BR-PE-26003","BR-PE","BR-NE","BR","26003","Caruaru","caruaru","1377071"
"BR-PE-26004","BR-PE","BR-NE","BR","26004","Garanhuns","garanhuns","545039"
"BR-PE-26005","BR-PE","BR-NE","BR","26005","Goiana","goiana","315057"
"BR-PE-26006","BR-PE","BR-NE","BR","26006","Limoeiro","limoeiro","600850"
"BR-PE-26007","BR-PE","BR-NE","BR","26007","Ouricuri","ouricuri","355864"
"BR-PE-26008","BR-PE","BR-NE","BR","26008","Palmares","palmares","621417"
"BR-PE-26009","BR-PE","BR-NE","BR","26009","Petrolina","petrolina","504432"
"BR-PE-26010","BR-PE","BR-NE","BR","26010","Recife","recife","4234546"
"BR-PE-26011","BR-PE","BR-NE","BR","26011","Salgueiro","salgueiro","147651"
"BR-PE-26012","BR-PE","BR-NE","BR","26012","Serra Talhada","serra-talhada","239971"
"BR-PI-22001","BR-PI","BR-NE","BR","22001","Carnaubais","carnaubais","163350"
"BR-PI-22002","BR-PI","BR-NE","BR","22002","Chapada das Mangabeiras","chapada-das-mangabeiras","197346"
"BR-PI-22003","BR-PI","BR-NE","BR","22003","Cocais","cocais","401648"
"BR-PI-22004","BR-PI","BR-NE","BR","22004","Entre Rios","entre-rios","1232854"
"BR-PI-22005","BR-PI","BR-NE","BR","22005","Planície Litorânea","planicie-litoranea","280259"
"BR-PI-22006","BR-PI","BR-NE","BR","22006","Serra da Capivara","serra-da-capivara","148434"
"BR-PI-22007","BR-PI","BR-NE","BR","22007","Tabuleiros do Alto Parnaíba","tabuleiros-do-alto-parnaiba","47943"
"BR-PI-22008","BR-PI","BR-NE","BR","22008","Vale do Canindé","vale-do-caninde","108908"
"BR-PI-22009","BR-PI","BR-NE","BR","22009","Vale do Rio Guaribas","vale-do-rio-guaribas","376792"
"BR-PI-22010","BR-PI","BR-NE","BR","22010","Vale do Sambito","vale-do-sambito","106786"
"BR-PI-22011","BR-PI","BR-NE","BR","22011","Vale dos Rios Piauí e Itaueiras","vale-dos-rios-piaui-e-itaueiras","208907"
"BR-PR-41001","BR-PR","BR-S","BR","41001","1ª RS Paranaguá","1a-rs-paranagua","297029"
"BR-PR-41002","BR-PR","BR-S","BR","41002","2ª RS Metropolitana","2a-rs-metropolitana","3654960"
"BR-PR-41003","BR-PR","BR-S","BR","41003","3ª RS Ponta Grossa","3a-rs-ponta-grossa","637293"
"BR-PR-41004","BR-PR","BR-S","BR","41004","4ª RS Irati","4a-rs-irati","174933"
"BR-PR-41005","BR-PR","BR-S","BR","41005","5ª RS Guarapuava","5a-rs-guarapuava","456587"
"BR-PR-41006","BR-PR","BR-S","BR","41006","6ª RS União da Vitória","6a-rs-uniao-da-vitoria","177311"
"BR-PR-41007","BR-PR","BR-S","BR","41007","7ª RS Pato Branco","7a-rs-pato-branco","267234"
"BR-PR-41008","BR-PR","BR-S","BR","41008","8ª RS Francisco Beltrão","8a-rs-francisco-beltrao","358144"
